"text","attribution","macho","conservative","business","tech"
"And so every one of us in the FBI, I don't care if it's a file clerk someplace or an agent there or a computer specialist, understands that our main mission is to protect the public from another September 11, another terrorist attack.","Robert Mueller",0.9,1,1,1
"It was a show where you were given a quote out of current events and you had to identify who said it. I was reading eight newspapers a day and had compiled a file of about 300 quotes. I really had to do my research. The White House press didn't have to bone up on any of it.","June Lockhart",0.9,1,1,1
"TCP works very hard to get the data delivered in order without errors and does retransmissions and recoveries and all that kind of stuff which is exactly what you want in a file transfer because so you don't want any errors in your file.","Jon Postel",0.9,1,1,1
"People are stunned to hear that one company has data files on 185 million Americans.","Ralph Nader",0.9,1,1,1
"From my sketch files I'll find a pose that shows the emotion behind a particular character's story.","Frank Bruno",0.9,1,1,1
"There was no indication of panic. The broken files marched back in steady step. The effort was nobly made and failed from the blows that could not be fended.","James Longstreet",0.9,1,1,1
"Poor fellow, he suffers from files.","Aneurin Bevan",0.9,1,1,1
"It is our goal to provide full public access to as many files as we possibly can.","Shirley Williams",0.9,1,1,1
"I the heir of all the ages, in the foremost files of time.","Alfred Lord Tennyson",0.9,1,1,1
"Ritual murder is referred to in court files which are located in Rome. There are pictures in it which show that in 23 cases, the Church itself has dealt with the question.","Julius Streicher",0.9,1,1,1
"I used the best technique that I knew to protect my files.","Wen Ho Lee",0.9,1,1,1
"The current medical records system is this: Room after room after room in a hospital filled with paper files.","Timothy Murphy",0.9,1,1,1
"The Bureau doesn't have any secret files.","W. Mark Felt",0.9,1,1,1
"Unauthorized use of these MP3 files is really creating a problem for artists in the music community.","Hilary Rosen",0.9,1,1,1
"Deep Throat is a guy who could have your files and mine in his trust.","Chuck Colson",0.9,1,1,1
"We have persistant objects, they're called files.","Ken Thompson",0.9,1,1,1
"Computers are hierarchical. We have a desktop and hierarchical files which have to mean everything.","Ted Nelson",0.9,1,1,1
"How time files when you's doin' all the talking.","Harvey Fierstein",0.9,1,1,1
"There have been a couple of instances prior to now where members of the House have filed resolutions calling for release of the sealed files which were developed during the course of our committee's investigation.","Louis Stokes",0.9,1,1,1
"It's clear that people are going to download media files, and they're going to talk to each other, and they're going to exchange information and knowledge and so forth. So this system logic is basically what you bounce off of.","Michael Nesmith",0.9,1,1,1
"I thought cryptography was a technique that did not require your trusting other people-that if you encrypted your files, you would have the control to make the choice as to whether you would surrender your files.","Whitfield Diffie",0.9,1,1,1
"I use computers for email, staying current with my own website as well as finding important information through other websites. I also use it for creating MP3 files of new music I'm working on.","Clint Black",0.9,1,1,1
"I think it's pretty obvious to most people that Napster is not media specific, but I could see a system like Napster evolving into something that allows users to locate and retrieve different types of data other than just MP3s or audio files.","Shawn Fanning",0.9,1,1,1
"Your memory is a monster; you forget - it doesn't. It simply files things away. It keeps things for you, or hides things from you - and summons them to your recall with a will of its own. You think you have a memory; but it has you!","John Irving",0.9,1,1,1
"Firstly, we have personnel records of persons we hired, persons we fired, reasons we fired them and so forth. These records have nothing to do with the assassination of the president and, therefore, ought to remain in the files.","Louis Stokes",0.9,1,1,1
"I always enjoyed politics. I worked at the White House recently, primarily for the First Lady. Because of my experience running my travel agency, I was in charge of the files she kept on the Travel Office.","Joseph Force Crater",0.9,1,1,1
"I enjoyed the crew. The best part about 'The X-Files' has been the crew. This crew is an exceptional family and to go to work with a bunch of people that you really like is great. They're all the best of the best and they really try to do the best job they can. I'll miss that.","Robert Patrick",0.9,1,1,1
"Trust your hunches. They're usually based on facts filed away just below the conscious level.","Joyce Brothers",0.9,1,1,1
"As many will remember, a respected Army Corps economist filed a whistleblower complaint about the Corps' use of faulty data to justify lock and dam expansion.","Ron Kind",0.9,1,1,1
"They rushed to move it forward, uh, and then a lawsuit was filed and we spent many months litigating, rather than trying to come up with legislation and move forward on that front.","Tom Udall",0.9,1,1,1
"For most men, life is a search for the proper manila envelope in which to get themselves filed.","Clifton Fadiman",0.9,1,1,1
"In the first 50 years of the filibuster, it was used only 35 times. But the last Congress alone had 112 cloture motions filed, plus threats of more. This is the tyranny of the minority.","Peter Fenn",0.9,1,1,1
"The genre has moved into this commercial aspect of itself, and ignored this extraordinarily rich literature that's filed everywhere else except under travel.","Robyn Davidson",0.9,1,1,1
"Over the years, dozens of American companies have filed papers to trade in their U.S. corporate citizenship for citizenship in tax haven countries like Bermuda.","Richard Neal",0.9,1,1,1
"The entire exhibitions industry in the United States of America has filed for bankruptcy.","Jeffrey Katzenberg",0.9,1,1,1
"And as soon as I did the research, I realized the law seemed to be on my side and I filed the suit.","Michael Newdow",0.9,1,1,1
"No charges have been filed by the L.A. district attorney's office, and for that I am appreciative. I have said it before, but we all make mistakes, and the day will come soon enough where you no longer read of mine in the tabloids.","Scott Stapp",0.9,1,1,1
"With me serving as the president, we filed a $3-million lawsuit against the league and its member clubs in an attempt to win increased pension benefits and a larger share Of television revenue.","Ted Lindsay",0.9,1,1,1
"I filed the ethics complaint against Tom DeLay not because I'm a Democrat and he's a Republican or even because he drew me out of my congressional seat but because he engaged in corruption to further his plans to disenfranchise voters in Texas.","Chris Bell",0.9,1,1,1
"It's not clutter, it's my unique filing system.","Jonathan Lockwood Huie",0.9,1,1,1
"Labels are for filing. Labels are for clothing. Labels are not for people.","Martina Navratilova",0.9,1,1,1
"Is not the whole world a vast house of assignation of which the filing system has been lost?","Quentin Crisp
",0.9,1,1,1
